差不注ワード,注記
黒いの,差別用語/人種民族差別(差不注DB)
黒ん坊,差別用語/人種民族差別(差不注DB)
混血児,差別用語/人種民族差別(差不注DB)
差別化,➡差異化、個性化、区別化/その他注意語(差不注DB)
細民街,歴史語/部落差別(差不注DB)
細民窟,歴史語/部落差別(差不注DB)
坂ノ者,歴史語/部落差別(差不注DB)
殺処分,OK/職業差別(差不注DB)
雑貨屋,OK/職業(QC資料)
雑役婦,要注意（軽視的表現）/職業(QC資料)
雑賤民,歴史語/部落差別(差不注DB)
三国人,差別用語/地域差別(差不注DB)
私生児,➡婚外子/性差別(差不注DB)
事務屋,要注意（軽視的表現）/職業(QC資料)
自閉症,要注意/障害者差別(差不注DB)
辞書屋,要注意（軽視的表現）/職業(QC資料)
手短か,OK/障害者差別(差不注DB)
宿の者,歴史語/部落差別(差不注DB)
宿非人,歴史語/部落差別(差不注DB)
出戻り,差別用語/性差別(差不注DB)
処女作,差別用語/性差別(差不注DB)
処女地,差別用語/性差別(差不注DB)
処女峰,差別用語/性差別(差不注DB)
助産婦,➡助産師/性差別(差不注DB)
女主人,差別用語/性(QC資料)
小使い,➡校務員、学校用務員/職業差別(差不注DB)
小人症,➡低身長症など/障害(QC資料)
錠前屋,要注意（軽視的表現）/職業(QC資料)
色情狂,差別用語/障害者差別(差不注DB)
新平民,差別用語/部落差別(差不注DB)
人非人,要注意/部落差別(差不注DB)
成駒屋,OK/屋号(QC資料)
成田屋,OK/屋号(QC資料)
政治屋,要注意（軽視的表現）/職業(QC資料)
精神科,要注意/障害者差別(差不注DB)
占い女,要注意（軽視的表現）/職業、性(QC資料)
川向う,要注意/部落差別(差不注DB)
洗濯女,要注意（軽視的表現）/職業、性(QC資料)
潜水夫,要注意（軽視的表現）/職業(QC資料)
前科者,不快語/身分(QC資料)
掃除屋,要注意（軽視的表現）/職業(QC資料)
掃除夫,➡清掃員/職業差別(差不注DB)
掃除婦,要注意（軽視的表現）/職業、性(QC資料)
葬儀屋,要注意（軽視的表現）/職業(QC資料)
炭坑夫,要注意（軽視的表現）/職業(QC資料)
炭鉱夫,要注意（軽視的表現）/職業(QC資料)
鍛冶屋,OK/職業(QC資料)
男勝り,差別用語/性差別(差不注DB)
痴呆症,➡認知症/病気差別(差不注DB)
鋳掛屋,要注意（軽視的表現）/職業(QC資料)
朝鮮人,歴史語/地域差別(差不注DB)
朝鮮籍,歴史語/地域差別(差不注DB)
低能児,差別用語/障害者差別(差不注DB)
天刑病,➡ハンセン病/病気差別(差不注DB)
点灯夫,要注意（軽視的表現）/職業(QC資料)
兎つ口,➡口唇裂、口唇口蓋裂/障害者差別(差不注DB)
兎つ唇,➡口唇裂、口唇口蓋裂/障害者差別(差不注DB)
屠殺場,➡屠畜場など/職業差別(差不注DB)
屠殺人,➡屠場労働者など/職業差別(差不注DB)
屠畜場,OK/職業差別(差不注DB)
怒り狂,差別用語/障害(QC資料)
同性愛,要注意/性差別(差不注DB)
馬券屋,要注意（軽視的表現）/職業(QC資料)
馬肉屋,要注意（軽視的表現）/職業(QC資料)
八百屋,OK/職業(QC資料)
半陰陽,差別用語/性差別(差不注DB)
半島人,差別用語/地域差別(差不注DB)
番太郎,歴史語/部落差別(差不注DB)
番非人,歴史語/部落差別(差不注DB)
